location,moon_phase,time
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.0450281053510526,2000-01-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.236433328320675,2000-01-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.426013637635655,2000-01-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6147361697709437,2000-01-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.803274413533739,2000-01-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.9914103222373156,2000-01-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0898219443733104,2000-01-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.9041330327839563,2000-01-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.7104770628625863,2000-01-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.513934644504219,2000-01-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.314332050729906,2000-01-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.1111227232608085,2000-01-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9035983301222088,2000-01-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6909793564991642,2000-01-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.4725325527625213,2000-01-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.2477331091344193,2000-01-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0164653476665544,2000-01-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7792302699781414,2000-01-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5372945742072468,2000-01-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.29269902638606354,2000-01-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.04823914564070432,2000-01-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.1941175239004976,2000-01-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.43091595259698506,2000-01-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.660763742904953,2000-01-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.882688454639358,2000-01-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0965786223625629,2000-01-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.303015212993219,2000-01-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5030658427695238,2000-01-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6980876182588511,2000-01-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.88955939757947,2000-01-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.0789471358078777,2000-01-31 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.267603667337834,2000-02-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.4567022170109136,2000-02-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6471926962987324,2000-02-03 00:00:00
